chem_id,theta_log_Psat
chemical_025_4,4.750508395
chemical_025_5,4.909556029
chemical_026_1,3.653212514
chemical_026_2,3.886490725
chemical_026_3,4.096910013
chemical_026_4,4.285557309
chemical_026_5,4.463892989
chemical_027_1,3.740362689
chemical_027_2,3.973127854
chemical_027_3,4.184691431
chemical_027_4,4.324282455
chemical_027_5,4.51054501
chemical_028_1,4.170261715
chemical_028_2,4.369215857
chemical_028_3,4.546542663
chemical_028_4,4.675778342
chemical_028_5,4.846337112
chemical_029_1,1.301029996
chemical_029_2,1.505149978
chemical_029_3,1.602059991
chemical_029_4,1.954242509
chemical_030_1,2.653212514
chemical_030_2,2.954242509
chemical_030_3,3.217483944
chemical_030_4,3.431363764
chemical_030_5,3.643452676
chemical_031_1,4.612783857
chemical_031_2,4.77815125
chemical_031_3,4.954242509
chemical_031_4,5.113943352
chemical_032_1,3.176091259
chemical_032_2,3.62324929
chemical_033_1,1.477121255
chemical_033_2,1.84509804
chemical_034_1,3.397940009
chemical_034_2,3.653212514
chemical_034_3,3.903089987
chemical_034_4,4.146128036
chemical_034_5,4.361727836
chemical_035_1,4.204119983
chemical_035_2,4.431363764
chemical_035_3,4.662757832
chemical_035_4,4.892094603
chemical_035_5,5.113943352
chemical_036_1,4.77815125
chemical_037_1,2.903089987
chemical_037_2,3.146128036
chemical_037_3,3.414973348
chemical_037_4,3.681241237
chemical_037_5,3.929418926
chemical_038_1,3.812913357
chemical_038_2,4.041392685
chemical_038_3,4.278753601
chemical_038_4,4.477121255
chemical_038_5,4.681241237
chemical_039_1,2.397940009
chemical_039_2,2.84509804
chemical_040_1,3.77815125
chemical_040_2,4.041392685
chemical_040_3,4.301029996
chemical_040_4,4.544068044
chemical_040_5,4.77815125
chemical_041_1,2.544068044
chemical_041_2,2.77815125
chemical_041_3,3.079181246
chemical_041_4,3.361727836
chemical_041_5,3.62324929
chemical_042_1,3.698970004
chemical_042_2,3.954242509
chemical_042_3,4.204119983
chemical_042_4,4.431363764
chemical_042_5,4.653212514
chemical_043_1,2.77815125
chemical_043_2,3.041392685
chemical_043_3,3.342422681
chemical_043_4,3.602059991
chemical_043_5,3.84509804
chemical_044_1,-0.522878745
chemical_044_2,-0.22184875
chemical_044_3,0.079181246
chemical_044_4,0.397940009
chemical_044_5,0.698970004
chemical_045_1,2.255272505
chemical_045_2,2.477121255
chemical_045_3,2.77815125
chemical_045_4,3.041392685
chemical_045_5,3.322219295
chemical_045_1,-0.22184875
chemical_045_2,0.079181246
chemical_045_3,0.361727836
chemical_045_4,0.62324929
chemical_046_1,2.477121255
chemical_046_2,2.740362689
chemical_046_3,3.041392685
chemical_046_4,3.301029996
chemical_046_5,3.579783597
chemical_047_1,2
chemical_047_2,2.397940009
chemical_047_3,2.698970004
chemical_047_4,2.977723605
chemical_047_5,3.204119983
chemical_048_1,1.954242509
chemical_048_2,2.204119983
chemical_048_3,2.397940009
chemical_048_4,2.556302501
chemical_048_5,2.77815125
chemical_049_1,1.643452676
chemical_049_2,1.924279286
chemical_049_3,2.146128036
chemical_049_4,2.342422681
chemical_049_5,2.531478917
chemical_050_1,0.477121255
chemical_050_2,0.77815125
chemical_050_3,0.954242509
chemical_050_4,1.123851641
chemical_050_5,1.544068044
chemical_051_1,0.301029996
chemical_051_2,0.602059991
chemical_051_3,0.77815125
chemical_051_4,0.903089987
chemical_051_5,1.130333768
chemical_052_1,2.342422681
chemical_052_2,2.505149978
chemical_052_3,2.633468456
chemical_052_4,2.672097858
chemical_052_5,2.913813852
chemical_053_1,1.243038049
chemical_053_2,1.544068044
chemical_053_3,1.698970004
chemical_053_4,1.77815125
chemical_053_5,1.889301703
chemical_054_1,0.954242509
chemical_054_2,1.301029996
chemical_054_3,1.602059991
chemical_054_4,1.949390007
chemical_054_5,2.217483944
chemical_055_1,3.643452676
chemical_055_2,3.792391689
chemical_055_3,3.919078092
chemical_055_4,3.986771734
chemical_055_5,4.161368002
