chem_id,theta_log_Psat
chemical_034_4,4.1461
chemical_034_5,4.3617
chemical_035_1,4.2041
chemical_035_2,4.4314
chemical_035_3,4.6628
chemical_035_4,4.8921
chemical_035_5,5.1139
chemical_036_1,4.7782
chemical_037_1,2.9031
chemical_037_2,3.1461
chemical_037_3,3.4150
chemical_037_4,3.6812
chemical_037_5,3.9294
chemical_038_1,3.8129
chemical_038_2,4.0414
chemical_038_3,4.2788
chemical_038_4,4.4771
chemical_038_5,4.6812
chemical_039_1,2.3979
chemical_039_2,2.8451
chemical_040_1,3.7782
chemical_040_2,4.0414
chemical_040_3,4.3010
chemical_040_4,4.5441
chemical_040_5,4.7782
chemical_041_1,2.5441
chemical_041_2,2.7782
chemical_041_3,3.0792
chemical_041_4,3.3617
chemical_041_5,3.6232
chemical_042_1,3.6990
chemical_042_2,3.9542
chemical_042_3,4.2041
chemical_042_4,4.4314
chemical_042_5,4.6532
chemical_043_1,2.7782
chemical_043_2,3.0414
chemical_043_3,3.3424
chemical_043_4,3.6021
chemical_043_5,3.8451
chemical_044_1,-0.5229
chemical_044_2,-0.2218
chemical_044_3,0.0792
chemical_044_4,0.3979
chemical_044_5,0.6990
chemical_045_1,2.2553
chemical_045_2,2.4771
chemical_045_3,2.7782
chemical_045_4,3.0414
chemical_045_5,3.3222
chemical_046_1,-0.2218
chemical_046_2,0.0792
chemical_046_3,0.3617
chemical_046_4,0.6232
chemical_047_1,2.4771
chemical_047_2,2.7404
chemical_047_3,3.0414
chemical_047_4,3.3010
chemical_047_5,3.5798
chemical_048_1,2.0000
chemical_048_2,2.3979
chemical_048_3,2.6990
chemical_048_4,2.9777
chemical_048_5,3.2041
chemical_049_1,1.9542
chemical_049_2,2.2041
chemical_049_3,2.3979
chemical_049_4,2.5563
chemical_049_5,2.7782
chemical_050_1,1.6435
chemical_050_2,1.9243
chemical_050_3,2.1461
chemical_050_4,2.3424
chemical_050_5,2.5315
chemical_051_1,0.4771
chemical_051_2,0.7782
chemical_051_3,0.9542
chemical_051_4,1.1239
chemical_051_5,1.5441
chemical_052_1,0.3010
chemical_052_2,0.6021
chemical_052_3,0.7782
chemical_052_4,0.9031
chemical_052_5,1.1303
chemical_053_1,2.3424
chemical_053_2,2.5051
chemical_053_3,2.6335
chemical_053_4,2.6721
chemical_053_5,2.9138
chemical_054_1,1.2430
chemical_054_2,1.5441
chemical_054_3,1.6990
chemical_054_4,1.7782
chemical_054_5,1.8893
chemical_055_1,0.9542
chemical_055_2,1.3010
chemical_055_3,1.6021
chemical_055_4,1.9494
chemical_055_5,2.2175
chemical_056_1,3.6435
chemical_056_2,3.7924
chemical_056_3,3.9191
chemical_056_4,3.9868
chemical_056_5,4.1614
chemical_057_1,2.2553
chemical_057_2,2.4914
chemical_057_3,2.6628
chemical_057_4,2.7709
chemical_057_5,2.9912
chemical_058_1,0.9542
chemical_058_2,1.0969
chemical_058_3,1.1818
chemical_058_4,1.2380
chemical_058_5,1.3284
chemical_059_1,1.4771
chemical_059_2,1.7404
chemical_059_3,1.9294
chemical_059_4,2.0414
chemical_059_5,2.1139
chemical_060_1,2.1761
chemical_060_2,2.3802
chemical_060_3,2.5563
chemical_060_4,2.6990
chemical_060_5,2.8261
chemical_061_1,2.8751
chemical_061_2,3.2041
chemical_061_3,3.3617
chemical_061_4,3.4472
chemical_061_5,3.5623
chemical_062_1,-2.5229
chemical_062_2,-2.2218
chemical_062_3,-1.9208
chemical_062_4,-1.6021
chemical_062_5,-1.3010
chemical_063_1,1.4771
chemical_063_2,1.6021
chemical_063_3,1.7160
chemical_063_4,1.8129
chemical_063_5,2.0212
chemical_064_1,-5.6990
chemical_064_2,-5.3979
chemical_064_3,-5.1549
chemical_064_4,-5.0000
chemical_064_5,-4.2218
chemical_065_1,-2.3010
chemical_065_2,-2.0000
chemical_065_3,-1.8239
chemical_065_4,-1.6778
chemical_065_5,-1.3468
chemical_066_1,-3.2218
chemical_066_2,-2.9208
chemical_066_3,-2.6990
chemical_066_4,-2.5229
chemical_066_5,-2.0969
chemical_067_1,2.6232
chemical_067_2,2.7482
chemical_067_3,2.8573
chemical_067_4,2.9031
chemical_067_5,3.0792
chemical_068_1,3.8261
chemical_068_2,3.9445
chemical_068_3,4.0414
chemical_068_4,4.0682
chemical_068_5,4.2227
chemical_069_1,4.0000
chemical_069_2,4.1139
chemical_069_3,4.2041
chemical_069_4,4.2304
chemical_069_5,4.3802
chemical_070_1,-0.6778
chemical_070_2,-0.1938
chemical_070_3,0.2601
chemical_070_4,0.6848
chemical_070_5,1.1004
chemical_071_1,1.4108
chemical_071_2,1.7755
chemical_071_3,2.1099
chemical_071_4,2.4180
chemical_071_5,2.7023
chemical_072_1,0.3997
chemical_072_2,0.8241
chemical_072_3,1.2068
chemical_072_4,1.5599
chemical_072_5,1.8876
chemical_073_1,-0.3969
chemical_073_2,0.0607
chemical_073_3,0.4814
chemical_073_4,0.8669
chemical_073_5,1.2201
chemical_074_1,-2.8665
chemical_074_2,-2.2708
chemical_074_3,-1.6861
chemical_074_4,-1.1726
chemical_074_5,-0.7011
chemical_075_1,-1.6198
chemical_075_2,-1.1192
chemical_075_3,-0.6737
chemical_075_4,-0.2457
chemical_075_5,0.1553
chemical_076_1,1.2989
chemical_076_2,1.6739
chemical_076_3,2.0026
chemical_076_4,2.1931
chemical_076_5,2.3553
chemical_077_1,0.7536
chemical_077_2,1.1818
chemical_077_3,1.5441
chemical_077_4,1.8949
chemical_077_5,2.1614
chemical_078_1,0.4082
chemical_078_2,0.8376
chemical_078_3,1.2175
chemical_078_4,1.5729
chemical_078_5,1.8129
chemical_079_1,0.2742
chemical_079_2,0.7007
chemical_079_3,1.1004
chemical_079_4,1.4472
chemical_079_5,1.6902
chemical_080_1,-0.2518
chemical_080_2,0.1206
chemical_080_3,0.5403
chemical_080_4,0.9638
chemical_080_5,1.3522
chemical_081_1,0.1673
chemical_081_2,0.5563
chemical_081_3,1.0000
chemical_081_4,1.4669
chemical_081_5,1.8733
chemical_082_1,-4.1249
chemical_082_2,-3.6990
chemical_082_3,-3.1739
chemical_082_4,-2.6440
chemical_082_5,-2.1349
chemical_083_1,-1.3010
chemical_083_2,-0.9066
chemical_083_3,-0.4559
chemical_083_4,-0.0410
chemical_083_5,0.3424
chemical_084_1,0.5877
chemical_085_1,1.3010
chemical_085_2,1.5403
chemical_085_3,1.8733
chemical_085_4,2.1673
chemical_085_5,2.4594
chemical_086_1,0.3284
chemical_086_2,0.6812
chemical_086_3,1.1072
chemical_086_4,1.4472
chemical_086_5,1.8407
chemical_087_1,1.8651
chemical_088_1,0.9101
chemical_089_1,1.1248
chemical_090_1,2.7047
chemical_091_1,0.4265
chemical_092_1,0.6021
chemical_093_1,0.1072
chemical_093_2,0.4472
chemical_093_3,0.8651
chemical_093_4,1.1673
chemical_093_5,1.5563
chemical_094_1,1.9941
chemical_095_1,2.8733
chemical_095_2,3.0531
chemical_095_3,3.3201
chemical_095_4,3.5717
chemical_095_5,3.8195
chemical_096_1,2.2038
chemical_097_1,1.7774
chemical_098_1,2.2710
chemical_099_1,1.0282
chemical_100_1,0.7267
chemical_101_1,1.2041
chemical_102_1,0.5877
chemical_102_2,0.9309
chemical_102_3,1.3284
chemical_102_4,1.6021
chemical_102_5,1.9823
chemical_103_1,-0.4559
chemical_103_2,-0.0969
chemical_103_3,0.3284
chemical_103_4,0.6693
chemical_103_5,1.0531
chemical_104_1,-0.5528
chemical_105_1,-1.5376
chemical_105_2,-1.1367
chemical_105_3,-0.6778
chemical_105_4,-0.2518
chemical_105_5,0.1673
chemical_106_1,-1.4089
chemical_106_2,-1.0223
chemical_106_3,-0.5086
chemical_106_4,0.1239
chemical_106_5,0.6561
chemical_107_1,-0.2840
chemical_107_2,0.0682
chemical_107_3,0.4871
chemical_107_4,0.7875
chemical_107_5,1.1673
chemical_108_1,0.7782
chemical_108_2,1.1072
chemical_108_3,1.5051
chemical_108_4,1.7782
chemical_108_5,2.1461
chemical_109_1,0.3802
chemical_109_2,0.7380
chemical_109_3,1.1673
chemical_109_4,1.4265
chemical_109_5,1.8149
chemical_110_1,-0.9031
chemical_110_2,-0.5331
chemical_110_3,-0.0915
chemical_110_4,0.3802
chemical_110_5,0.7875
chemical_111_1,-1.3279
chemical_111_2,-0.9508
chemical_111_3,-0.4559
chemical_111_4,-0.0757
chemical_111_5,0.3560
chemical_112_1,-0.8861
chemical_112_2,-0.5086
chemical_112_3,-0.0605
chemical_112_4,0.4031
chemical_112_5,0.8062
chemical_113_1,-0.5086
chemical_113_2,-0.1675
chemical_113_3,0.2718
chemical_113_4,0.6304
chemical_113_5,1.0170
chemical_114_1,-0.5528
chemical_114_2,-0.2007
chemical_114_3,0.2380
chemical_114_4,0.5717
chemical_114_5,0.9699
chemical_115_1,-0.2518
chemical_115_2,0.0899
chemical_115_3,0.5224
chemical_115_4,0.8407
chemical_115_5,1.2380
chemical_116_1,-1.2441
chemical_116_2,-0.8327
chemical_116_3,-0.3979
chemical_116_4,-0.0410
chemical_116_5,0.3802
chemical_117_1,-1.6383
chemical_117_2,-1.2218
chemical_117_3,-0.7696
chemical_117_4,-0.4089
chemical_117_5,0.0043
